Date,Open ,High,Low,Close
2016-09-15 09:30:00,784.31,790.85,783.33,790.25
2016-09-15 10:00:00,790.25,799.76,788.95,798.26
2016-09-15 12:00:00,798.26,802.31,798.12,802.25
2016-09-15 14:00:00,802.25,803.04,800.29,801.76
2016-09-16 09:30:00,807.21,808.77,798.95,799.06
2016-09-16 10:00:00,799.06,800.95,795.85,799.67
2016-09-16 12:00:00,799.67,801.85,797.42,798.33
2016-09-16 14:00:00,798.33,803.28,797.31,801.61
2016-09-19 09:30:00,805.27,814.34,805.2,813.95
2016-09-19 10:00:00,813.95,814.62,806.19,808.11
2016-09-19 12:00:00,808.11,808.27,800.17,802.68
2016-09-19 14:00:00,802.68,805.99,802.09,803.11
2016-09-20 09:30:00,805.07,807.94,803.64,806.45
2016-09-20 10:00:00,806.45,807.74,800.86,800.86
2016-09-20 12:00:00,800.86,801.39,797.35,800.25
2016-09-20 14:00:00,800.25,801.91,799.08,799.11
2016-09-21 09:30:00,800.87,806.86,800.87,806.09
2016-09-21 10:00:00,806.09,807.46,802.56,803.36
2016-09-21 12:00:00,803.36,803.68,800.09,802.06
2016-09-21 14:00:00,802.06,811.45,801.29,810.52
2016-09-22 09:30:00,813.6,818.37,813.56,817.31
2016-09-22 10:00:00,817.31,817.57,811.27,811.39
2016-09-22 12:00:00,811.39,813.13,810.73,812.73
2016-09-22 14:00:00,812.73,814.33,811.49,813.46
2016-09-23 09:30:00,812.93,813.47,808.37,809.22
2016-09-23 10:00:00,809.22,811.86,807.53,810.99
2016-09-23 12:00:00,810.99,812.07,805.07,805.09
2016-09-23 14:00:00,805.09,807.47,803.87,804.63
2016-09-26 09:30:00,802.03,802.03,794.23,796.42
2016-09-26 10:00:00,796.42,801.57,796.08,799.85
2016-09-26 12:00:00,799.85,800.76,797.08,798.1
2016-09-26 14:00:00,798.1,798.76,796.32,796.76
2016-09-27 09:30:00,796.51,802.83,794.56,802.83
2016-09-27 10:00:00,802.83,806.34,801.4,806.31
2016-09-27 12:00:00,806.31,809.3,806.01,808.92
2016-09-27 14:00:00,808.92,810.97,808.65,810.78
2016-09-28 09:30:00,811.68,815.24,811.21,814.93
2016-09-28 10:00:00,814.93,816.48,806.95,809.75
2016-09-28 12:00:00,809.75,810.33,807.49,809.59
2016-09-28 14:00:00,809.59,812.99,808.75,812.4
2016-09-29 09:30:00,811.39,812.72,810.46,811.97
2016-09-29 10:00:00,811.97,812.91,807.58,809.61
2016-09-29 12:00:00,809.61,827.16,803.69,819.92
2016-09-29 14:00:00,819.92,826.24,819.42,822.71
2016-09-30 09:30:00,826.34,833.74,826.34,833.34
2016-09-30 10:00:00,833.34,840.41,833.06,837.16
2016-09-30 12:00:00,837.16,840.46,836.35,838.67
2016-09-30 14:00:00,838.67,838.79,835.41,835.5
2016-10-03 09:30:00,838.42,840.88,835.85,837.79
2016-10-03 10:00:00,837.79,838.34,830.58,831.22
2016-10-03 12:00:00,831.22,832.49,829.33,832.07
2016-10-03 14:00:00,832.07,833.55,828.01,829.52
2016-10-04 09:30:00,830.67,835.52,830.43,834.51
2016-10-04 10:00:00,834.51,834.51,828.74,830.76
2016-10-04 12:00:00,830.76,831.18,824.68,825.92
2016-10-04 14:00:00,825.92,828.96,824.33,827.23
2016-10-05 09:30:00,827.97,834.02,827.91,833.68
2016-10-05 10:00:00,833.68,839.39,832.73,837.99
2016-10-05 12:00:00,837.99,838.7,836.63,837.44
2016-10-05 14:00:00,837.44,837.44,832.86,833.64
2016-10-06 09:30:00,834.31,834.31,827.86,829.02
2016-10-06 10:00:00,829.02,835.67,828.08,834.71
2016-10-06 12:00:00,834.71,835.96,831.83,832.54
2016-10-06 14:00:00,832.54,839.16,832.51,838.62
2016-10-07 09:30:00,839.86,839.86,833.0,836.03
2016-10-07 10:00:00,836.03,838.85,829.82,831.38
2016-10-07 12:00:00,831.38,837.72,831.09,837.52
2016-10-07 14:00:00,837.52,838.02,836.6,836.94
2016-10-10 09:30:00,838.51,844.35,838.3,842.65
2016-10-10 10:00:00,842.65,842.85,833.71,833.71
2016-10-10 12:00:00,833.71,835.66,832.93,833.76
2016-10-10 14:00:00,833.76,834.2,832.71,832.91
2016-10-11 09:30:00,832.08,832.13,820.72,821.86
2016-10-11 10:00:00,821.86,822.76,813.33,816.29
2016-10-11 12:00:00,816.29,817.99,810.24,810.43
2016-10-11 14:00:00,810.43,815.9,808.35,815.3
2016-10-12 09:30:00,815.02,815.12,805.3,808.17
2016-10-12 10:00:00,808.17,811.52,807.7,809.55
2016-10-12 12:00:00,809.55,813.98,808.94,813.23
2016-10-12 14:00:00,813.23,814.87,811.5,812.65
2016-10-13 09:30:00,807.83,808.15,791.49,792.73
2016-10-13 10:00:00,792.73,798.7,790.19,798.49
2016-10-13 12:00:00,798.49,803.29,798.02,803.29
2016-10-13 14:00:00,803.29,805.24,801.76,803.1
2016-10-14 09:30:00,806.37,818.32,806.37,816.47
2016-10-14 10:00:00,816.47,818.66,810.83,811.04
2016-10-14 12:00:00,811.04,814.2,808.8,811.34
2016-10-14 14:00:00,811.34,811.59,808.73,809.45
2016-10-17 09:30:00,809.22,811.31,807.73,808.5
2016-10-17 10:00:00,808.5,812.74,808.08,808.51
2016-10-17 12:00:00,808.51,808.87,805.2,805.49
2016-10-17 14:00:00,805.49,806.76,804.54,805.02
2016-10-18 09:30:00,815.86,816.26,812.52,815.06
2016-10-18 10:00:00,815.08,817.59,813.67,817.59
2016-10-18 12:00:00,817.59,817.68,815.78,816.32
2016-10-18 14:00:00,816.31,817.21,813.88,814.67
2016-10-19 09:30:00,807.56,807.84,803.46,806.99
2016-10-19 10:00:00,807.02,811.53,805.55,810.03
2016-10-19 12:00:00,810.04,810.81,809.26,809.79
2016-10-19 14:00:00,809.78,812.11,809.78,810.86
2016-10-20 09:30:00,810.1,813.39,808.15,811.76
2016-10-20 10:00:00,811.77,813.32,804.62,810.76
2016-10-20 12:00:00,810.77,813.66,810.5,810.5
2016-10-20 14:00:00,810.5,819.7,810.27,816.58
2016-10-21 09:30:00,812.66,813.66,806.79,812.95
2016-10-21 10:00:00,812.91,815.78,811.98,815.25
2016-10-21 12:00:00,815.26,815.28,810.75,811.68
2016-10-21 14:00:00,811.68,815.21,811.44,814.44
2016-10-24 09:30:00,819.69,825.99,819.69,825.99
