Date,Open,High,Low,Close,Volume
8/31/2016,372.52,374.04,370.66,372.81,618377
9/1/2016,374.12,375.83,366.72,372.17,457515
9/2/2016,374.51,375.69,371.91,373.85,294065
9/6/2016,373.81,374.49,369.76,371.59,532476
9/7/2016,369.86,373.65,368,373.54,378740
9/8/2016,372.02,373.44,371.18,372.38,380102
9/9/2016,369.66,370.17,362.13,362.18,648209
9/12/2016,360,369.32,358.42,368.1,868690
9/13/2016,365.57,367.75,358.86,360.91,689239
9/14/2016,361.78,364.74,359.28,360.7,394517
9/15/2016,360.7,366.86,359.35,365.5,592479
9/16/2016,362.64,366.58,360.11,365.97,1122310
9/19/2016,368.87,372.41,366.52,367.96,547788
9/20/2016,371.81,371.81,365.71,365.71,462035
9/21/2016,367.66,371.24,366.33,370.37,488051
9/22/2016,373.68,375.95,372.3,373.87,557054
9/23/2016,372.09,373.26,365.55,365.65,549728
9/26/2016,363,364.56,359.9,360.7,487031
9/27/2016,359,362.61,358.29,361.79,496246
9/28/2016,363.78,363.79,359.14,361.68,503352
9/29/2016,360,363.64,354.02,357.23,665567
9/30/2016,359.95,363.88,358,362.46,580414
10/3/2016,361.7,364.13,357.73,360.07,623195
10/4/2016,360.5,361.52,355.26,356.03,711532
10/5/2016,357.63,359.72,355.67,358.24,705789
10/6/2016,358.25,359.23,356.04,356.8,707818
10/7/2016,356.99,358.6,355.5,357.21,789321
10/10/2016,360.01,362,357.98,358.8,461423
10/11/2016,357.26,357.26,350.39,351.87,557318
10/12/2016,352.47,353.97,350.39,351.1,500433
10/13/2016,348.52,350.94,344.42,349.34,576439
10/14/2016,354.8,357.27,350.78,354.91,790278
10/17/2016,355.42,356.97,352.95,354.6,624239
10/18/2016,355.5,359.67,355.44,356.59,704718
10/19/2016,356.74,357.18,352.72,352.72,813723
10/20/2016,352.61,354.71,348.78,349.17,1139050
10/21/2016,345.43,347.63,344.41,345.55,906905
10/24/2016,349.32,349.4,342.38,343.14,987940
10/25/2016,342.09,344.43,341.34,341.54,790381
10/26/2016,340.18,341,336.84,340.15,1149806
10/27/2016,341.63,342.57,337.15,340.28,703485
10/28/2016,341.75,342.45,337.77,339.69,614011
10/31/2016,341.49,343.14,339.02,341.24,809108
11/1/2016,343.36,343.42,338.53,340.96,795902
11/2/2016,340.86,341.72,337.43,338.61,668001
11/3/2016,339.47,343.11,338.71,341.14,714039
11/4/2016,341.36,348.72,339.9,345.8,1034794
11/7/2016,352.04,358.93,351.97,357.64,1080253
11/8/2016,356.04,356.84,351.95,353.49,777336
11/9/2016,352.92,365.94,349.04,364.42,1107351
11/10/2016,368.84,380.3,367.11,375.01,1442262
11/11/2016,371.85,373.95,367.79,371.19,660012
11/14/2016,373.78,375.44,369.79,373.81,772904
11/15/2016,373.82,374.22,367.51,372.15,1096757
11/16/2016,369.48,372.3,367.39,367.45,658358
11/17/2016,368.45,372.15,367.07,371.37,569138
11/18/2016,371.22,375.2,370.55,372.78,468931
11/21/2016,374.44,375.08,372.1,374.57,375640
11/22/2016,375.12,376.05,371.4,373.06,529095
11/23/2016,372.38,373.77,370.5,372.99,517837
11/25/2016,373.03,374.12,371.11,373.67,227062
11/28/2016,370.98,372.8,368.21,368.65,501797
11/29/2016,369.13,370.97,366.22,368.55,694626
11/30/2016,372.57,372.93,368.61,370.79,621879
12/1/2016,373.81,381.24,371.65,377.2,930236
12/2/2016,377.21,377.46,369.4,371.36,569010
12/5/2016,374.33,376.73,371.54,374.35,589242
12/6/2016,375.34,375.38,371.4,373.97,644176
12/7/2016,374.42,380.44,373.77,379.81,503808
12/8/2016,380.02,392.05,377.64,390.33,1115142
12/9/2016,391.9,391.95,386.2,388.54,934898
12/12/2016,394.28,396.64,385.26,390.28,1460881
12/13/2016,391.28,395.04,389.13,392.64,906956
12/14/2016,391.22,396.91,388.81,390,942688
12/15/2016,391.52,394.7,388.81,393.75,630221
12/16/2016,395.23,396.4,391,392.62,1023375
12/19/2016,392.25,393.55,389,389.77,812185
12/20/2016,392.41,399.46,392.22,398.45,716418
12/21/2016,398.82,399.09,392.21,393.53,672197
12/22/2016,390.26,390.26,385.33,387.12,863153
12/23/2016,387.12,388.84,384.35,385.74,579765
12/27/2016,388.01,388.58,385.62,387.49,285646
12/28/2016,388.38,388.74,380.71,381.03,506110
12/29/2016,381.34,384.19,378.92,379,485336
12/30/2016,381.56,382.35,378.64,380.54,515629
1/3/2017,384.62,387.95,382.28,386.43,743947
1/4/2017,384.65,386.97,383.16,386.66,680837
1/5/2017,384.98,386.7,380.08,382.54,468371
1/6/2017,383.57,385.47,381.43,384.3,453419
1/9/2017,384.35,385.43,380.01,380.42,505259
1/10/2017,381.78,382.28,378.55,380.31,452775
1/11/2017,379.67,382.47,377.1,380.95,948840
1/12/2017,379.62,379.87,372.21,378.29,776870
1/13/2017,378.69,386.95,375.95,379.35,620408
1/17/2017,377.1,377.1,373.34,374.8,647529
1/18/2017,376.16,378.04,373.39,378,508507
1/19/2017,377.67,379.7,376.1,377.35,456077
1/20/2017,379.28,381.63,378.83,381.4,660866
1/23/2017,381.34,381.34,376.03,378.06,503297
1/24/2017,380.1,383.39,378.54,381.38,615129
1/25/2017,384.98,388.82,383.89,388.33,596960
1/26/2017,382.55,388.28,378.41,379.42,837096
1/27/2017,380.45,381.37,372.9,375.06,686848
1/30/2017,374.81,375.53,370.7,375.18,591815
1/31/2017,374.69,375.27,372.2,373.98,714556
2/1/2017,375.21,378.11,370.87,373,619442
2/2/2017,366.45,372.45,365.83,371.64,832437
2/3/2017,372,378.64,371.57,378,953646
2/6/2017,374.55,378.83,374.55,377.42,546494
2/7/2017,377.63,379,376.52,376.89,547663
2/8/2017,375.08,376.26,373.8,374.56,433765
2/9/2017,376.48,379.91,375.69,378.57,493692
2/10/2017,380.19,383.94,379.85,382.89,578687
2/13/2017,384.74,387.28,383.34,385.83,453260
2/14/2017,385.8,386.51,383.26,384.98,772293
2/15/2017,385.29,393.72,385.29,393.04,640034
2/16/2017,392.63,393.7,389.93,391.97,503653
2/17/2017,389.76,390.69,388.01,388.76,607444
2/21/2017,390.94,392.83,388.98,390.1,434326
2/22/2017,389.04,390.95,387.79,390.71,422219
2/23/2017,391.47,391.77,388,390.61,387262
2/24/2017,388.03,389.16,385.73,389.16,483465
2/27/2017,389.55,391.37,388.22,391,368616
2/28/2017,389.04,391.08,386.92,387.46,781830
3/1/2017,394.25,399.17,392.79,397.81,791512
3/2/2017,395.15,395.38,391.42,391.65,475213
3/3/2017,392.03,392.93,389.42,390.17,340929
3/6/2017,387.72,388.94,385.76,387.66,366371
3/7/2017,387.06,387.65,384.2,385.35,360683
3/8/2017,387.98,389.03,384.37,384.55,416108
3/9/2017,385.32,386.96,381.93,384.27,393669
3/10/2017,387.33,387.99,383.89,384.58,483357
3/13/2017,385.62,386.13,383.11,384.89,387277
3/14/2017,383.19,386.09,381.34,383.29,353423
3/15/2017,385.4,388.97,384.1,388.22,433502
3/16/2017,389.11,392.12,387.25,390,535613
3/17/2017,391.23,391.23,382.62,382.85,672191
3/20/2017,382.12,382.44,378.87,380.45,435896
3/21/2017,383,383.12,374.09,375.16,610452
3/22/2017,373.58,376.21,372,375.47,343821
3/23/2017,374.5,379.32,374.5,375.4,418130
3/24/2017,376.77,377.96,372.23,374.41,318372
3/27/2017,369.26,375.05,368,375,614093
3/28/2017,373.78,381.88,373.61,380.63,593799
3/29/2017,378.52,380.92,377.59,379.41,461607
3/30/2017,378.1,384.13,378.1,383.04,483874
3/31/2017,382.58,386.24,381.57,383.51,435102
4/3/2017,383.83,385.2,378.16,382.09,502221
4/4/2017,381.23,381.88,379.07,380.8,407515
4/5/2017,383.48,386.79,380.2,380.91,467344
4/6/2017,381.25,385.44,380.24,384.1,330738
4/7/2017,381.72,389.3,381.72,386.02,550688
4/10/2017,386.08,389.03,384.14,385.89,390267
4/11/2017,383.68,384.52,379.55,384.05,441954
4/12/2017,382.93,384.76,380.38,381.44,377921
4/13/2017,378.86,384.54,378.01,379,366678
4/17/2017,381.18,384.1,379.8,383.8,426694
4/18/2017,381.59,384.23,379.72,383.61,498530
4/19/2017,385.13,385.85,375.52,377.1,687519
4/20/2017,378.35,382.84,375.67,381.59,725783
4/21/2017,379.69,381.38,376.8,378.06,493845
4/24/2017,385.93,389.11,384.12,386.65,595812
4/25/2017,388.84,388.84,385.36,388.19,545060
4/26/2017,388.45,391.9,387.1,388.87,465320
4/27/2017,390.16,391.04,385.51,390.71,371750
4/28/2017,390,391.36,384.29,384.57,581279
5/1/2017,387.2,387.2,383,383,585730
5/2/2017,383.57,384.89,382.31,384.5,379814
5/3/2017,384.07,385.55,383.01,384.29,375351
5/4/2017,386.4,386.4,381.3,383.31,460334
5/5/2017,382.77,383.81,381.4,383.76,536309
5/8/2017,384.64,384.96,380.77,382.38,336936
5/9/2017,382.32,383.86,379.65,380.5,473041
5/10/2017,380.58,382.47,377.85,382.27,404860
5/11/2017,380.4,383.35,378.56,382.87,454346
5/12/2017,381.74,385.2,381.19,385.12,458104
5/15/2017,386.6,391.45,385.36,389.36,554457
5/16/2017,389.76,392.28,387.71,391.3,594031
5/17/2017,386.51,389.21,381.65,383.67,859397
5/18/2017,382.63,392.83,381.84,388.48,1011274
5/19/2017,389.52,394.97,388.55,393.32,682234
5/22/2017,395.69,399,394.58,396.28,663907
5/23/2017,396.34,398.31,395.18,395.97,726220
5/24/2017,396.96,396.96,393,396.31,494457
5/25/2017,399.58,407.93,397.68,406.36,969637
5/26/2017,404.24,407.75,403.12,407.02,737435
5/30/2017,404.84,408.55,404.74,406.82,746524
5/31/2017,408,409.58,406.09,409.24,917164
6/1/2017,408.28,414.09,407.79,413.38,1324134
6/2/2017,411.8,416.54,410.23,414.71,879041
6/5/2017,414.73,417.71,413.91,414.22,424693
6/6/2017,411.31,416.56,411.05,413.83,667911
6/7/2017,415.47,415.85,413.27,413.8,584332
6/8/2017,413.9,417.63,413.61,415.23,683349
6/9/2017,416.57,419.04,415.36,418.5,679228
6/12/2017,417.75,420,415.75,418.31,784198
6/13/2017,419.31,421.25,416.86,419.31,373820
6/14/2017,417.87,421.61,416.77,421.49,519275
6/15/2017,418.8,422.62,417.46,422.37,475746
6/16/2017,423.22,423.47,419.69,420.51,1182142
6/19/2017,423.24,428.47,421.96,428.38,573046
6/20/2017,426.5,427.66,424.54,424.69,487510
6/21/2017,425.78,426.03,420.34,420.74,580530
6/22/2017,420.29,424.74,419.45,423.17,359801
6/23/2017,424.35,426.13,420.26,421.62,811765
6/26/2017,423.59,426.22,422.26,424.69,389645
6/27/2017,425.87,426.5,421.82,422.13,416891
6/28/2017,426.32,427.19,422.62,426.85,391399
6/29/2017,429.9,430.84,421.05,423.24,748905
6/30/2017,425.8,426.87,422.28,422.41,501996
7/3/2017,425.92,430.91,425.04,428.82,379890
7/5/2017,428.82,429.92,426.26,428.77,446749
7/6/2017,426.99,428.57,424.94,425.19,336154
7/7/2017,427.55,433.04,425.95,432.38,389982
7/10/2017,431.71,438.85,431.23,436.24,517048
7/11/2017,436.74,437.01,429.67,431.91,507367
7/12/2017,433.5,436.52,432.14,435.29,468611
7/13/2017,436.66,438.57,435.14,437.88,477610
7/14/2017,436.43,442.84,435.27,438.34,766194
7/17/2017,428,431.77,422.88,424.63,1246930
7/18/2017,421.92,427.15,420.2,426.88,848066
7/19/2017,429.04,429.58,424.76,426.46,517563
7/20/2017,426.56,427.6,425.02,427.28,396564
7/21/2017,426,429.55,425.45,428.65,440677
7/24/2017,427.62,429.08,427.35,428.32,372359
7/25/2017,432,434,430.14,431.35,530978
7/26/2017,432.44,435.53,431.26,432.71,739222
7/27/2017,434.44,435.35,421.96,425.51,538297
7/28/2017,425,426.09,421.9,424,445234
7/31/2017,426.48,427.99,424.65,426.53,585370
8/1/2017,429.67,431.79,427.32,429.98,440747
8/2/2017,428.56,429.94,424.35,425.55,394883
8/3/2017,424.35,427.09,424,426.01,442000
8/4/2017,428.61,429.15,425.99,426.51,412611
8/7/2017,427.04,428.76,426.02,427.87,279476
8/8/2017,427.8,431.92,427.01,428.82,397705
8/9/2017,426.31,431.57,425.26,431.34,351009
8/10/2017,428.87,430.05,422.38,422.69,488153
8/11/2017,422.15,428.23,422.14,424.16,807059
8/14/2017,427.79,429.75,426.25,428.06,453972
8/15/2017,429.88,431.12,426.94,428.25,372825
8/16/2017,431.74,431.77,426.52,427.07,326149
8/17/2017,426.91,428.33,419.7,419.94,443855
8/18/2017,417.21,419.76,414.38,416.55,1015041
8/21/2017,416.36,416.36,411.8,415.37,526134
8/22/2017,416.57,422.28,416.57,421.37,356589
8/23/2017,418.41,420.25,416.41,418.07,387412
8/24/2017,419.37,419.96,415.74,415.94,308493
8/25/2017,417.43,419.8,416.22,416.37,466698
8/28/2017,417.33,418.76,413.71,414.34,499428
8/29/2017,410.5,415.5,408.62,414.13,505509
8/30/2017,414.76,417.94,413.92,416.2,404805
8/31/2017,415.71,420.28,415.54,419.01,502230
9/1/2017,422.35,424.28,420.63,421.78,441960
9/5/2017,419.47,421.49,413.04,413.65,617434
9/6/2017,415.38,417.7,411.89,412.19,429489
9/7/2017,413.75,414.4,409.41,414.25,483306
9/8/2017,413.17,417.77,412.64,415.95,316395
9/11/2017,417.49,426.04,417.49,424.04,443206
9/12/2017,426.14,428.7,424.69,428.57,333885
9/13/2017,428.37,428.4,424.08,425.52,401393
9/14/2017,425.79,427,424.43,425.69,468286
9/15/2017,426.74,429.39,423.13,428.72,850216
9/18/2017,429.39,431.71,428.55,429.44,456054
9/19/2017,430.69,433.71,428.95,432.39,361913
9/20/2017,434.37,435.2,431.36,434.07,398882
9/21/2017,434.73,435.87,431.4,433.63,293317
9/22/2017,433.03,437.14,431.91,435.49,285819
9/25/2017,435.49,437.8,433.18,437.63,288569
9/26/2017,438.66,438.66,433.8,434.4,308425
9/27/2017,438.27,438.68,433.87,438.4,410182
9/28/2017,442,446.65,439.52,446.11,473541
9/29/2017,445,448.53,443.56,447.09,457746
10/2/2017,447.73,450.49,447.01,449.95,416891
10/3/2017,449.42,450.9,446.87,450.79,541347
10/4/2017,450.85,457.94,448.99,457.91,840471
10/5/2017,458.56,465.61,456.96,464.43,642975
10/6/2017,464.43,465.87,459.39,463.22,458566
10/9/2017,464.91,465.81,461.66,462.45,339624
10/10/2017,463.25,465.49,461.63,465.49,688104
10/11/2017,474,474.37,460.16,473.93,1031750
10/12/2017,476,485.23,473.99,480.59,1241743
10/13/2017,480.51,483.56,475.07,475.49,639780
10/16/2017,476.63,478.75,474.73,477.96,425474
10/17/2017,477.22,478.46,472.8,475.55,431729
10/18/2017,477.43,477.88,474.35,477.5,414918
10/19/2017,474,477.64,472.24,476.79,464164
10/20/2017,489.79,489.79,475.19,476.62,532146
10/23/2017,476.99,479.47,473.73,474.39,436872
10/24/2017,477.65,478.28,472.04,473.72,510368
10/25/2017,473.72,474.81,465.15,469.15,644010
10/26/2017,472.18,475.3,470.67,473.48,495196
10/27/2017,473.69,477.86,470.66,475.13,432631
10/30/2017,475.33,475.66,471.6,472.29,321075
10/31/2017,471.72,473.18,470.24,470.83,413065
11/1/2017,473.21,473.85,468.8,469.29,449755
11/2/2017,469.43,476.91,469.33,474.92,528822
11/3/2017,473.23,480.17,472.1,479.11,435634
11/6/2017,478.75,479.79,475.05,475.61,241614
11/7/2017,475.21,479.53,472.23,473.37,240385
11/8/2017,472.14,473.93,470.96,472.2,362202
11/9/2017,469.36,471.99,462.51,466.6,454984
11/10/2017,466.15,468.88,463.57,465.83,304532
11/13/2017,462.38,465.43,461.07,465.11,499094
11/14/2017,463.22,470.61,462.6,470.45,365975
11/15/2017,467.86,472.28,463.75,470.5,470414
11/16/2017,473.21,474.35,470.56,474.02,247538
11/17/2017,471.75,479.25,471.66,473.99,505577
11/20/2017,474.99,476.37,472.85,474.77,392224
11/21/2017,477.71,482.74,477.02,481.36,440921
11/22/2017,481.2,483.98,478.32,478.94,265359
